id,reach,swipe_ups_count,tap_count,followers,avg_engagement_month,ffratio,total_likes,total_comments
25,118.0,0,nil,15624,nil,10.74,18813,1605
25,1376.0,0,nil,15624,nil,10.74,18813,1605
95,15838.0,nil,nil,197763,0.0868421052631579,848.77,3154,110
95,6823.0,nil,nil,197763,0.0868421052631579,848.77,3154,110
102,200.0,60,nil,25937,2.16692307692308,3.46,6404,348
113,1689.0,9,nil,45758,1.44583333333333,10.91,7538,163
113,1414.0,8,nil,45758,1.44583333333333,10.91,7538,163
113,1564.0,4,nil,45758,1.44583333333333,10.91,7538,163
113,1233.0,10,nil,45758,1.44583333333333,10.91,7538,163
381,16681.0,9,nil,106653,2.265,162.33,34452,2691
386,1444.0,34,nil,21798,3.92928571428571,19.5,10793,644
386,1889.0,23,nil,21798,3.92928571428571,19.5,10793,644
386,1541.0,0,nil,21798,3.92928571428571,19.5,10793,644
386,1526.0,0,nil,21798,3.92928571428571,19.5,10793,644
386,1492.0,30,nil,21798,3.92928571428571,19.5,10793,644
386,1327.0,30,nil,21798,3.92928571428571,19.5,10793,644
470,14000.0,nil,nil,167290,0.344814814814815,106.76,4489,725
560,300.0,3,nil,22151,2.92125,129.54,6079,1315
625,1812.0,nil,nil,15600,nil,12.68,10735,270
637,13286.0,1119,nil,23148,5.50333333333333,133.8,12650,250
637,14101.0,1111,nil,23148,5.50333333333333,133.8,12650,250
637,13286.0,1002,nil,23148,5.50333333333333,133.8,12650,250
637,2650.0,nil,nil,23148,5.50333333333333,133.8,12650,250
711,33900.0,475,nil,383101,11.985641025641,576.09,320831,2373
736,2722.0,39,nil,63851,8.662,202.7,55646,352
736,2854.0,16,nil,63851,8.662,202.7,55646,352
804,2245.0,24,nil,31187,4.53117647058824,59.29,14719,1320
804,2242.0,24,nil,31187,4.53117647058824,59.29,14719,1320
812,443.0,10,nil,49624,1.23,424.14,16170,876
812,285.0,7,nil,49861,nil,426.16,nil,nil
812,265.0,nil,nil,49887,nil,430.06,nil,nil
928,2100.0,28,nil,63798,2.32741935483871,10.68,15268,1455
928,2100.0,28,nil,63798,2.32741935483871,10.68,15268,1455
938,1036.0,0,nil,21218,nil,14.65,8510,784
999,1700.0,10,nil,16253,43.9860869565217,13.56,67204,1035
999,1233.0,7,nil,15837,nil,13.27,nil,nil
1073,1247.0,16,nil,55931,2.67636363636364,377.91,124413,1626
1073,1305.0,17,nil,55931,2.67636363636364,377.91,124413,1626
1073,45000.0,76,nil,55931,2.67636363636364,377.91,124413,1626
1107,3934.0,26,nil,73198,nil,105.47,nil,nil
1107,4121.0,7,nil,73198,nil,105.47,nil,nil
1186,277.0,1,nil,11939,3.24666666666667,1.72,8699,756
1186,305.0,3,nil,11939,3.24666666666667,1.72,8699,756
1186,284.0,4,nil,11939,3.24666666666667,1.72,8699,756
1186,243.0,1,nil,11939,3.24666666666667,1.72,8699,756
1310,793.0,8,nil,24432,12.109375,8.6,33273,927
1310,898.0,7,nil,24432,12.109375,8.6,33273,927
1331,600.0,nil,nil,18231,nil,49.14,nil,nil
1331,436.0,nil,nil,18231,nil,49.14,nil,nil
1422,1958.0,10,nil,20556,2.51272727272727,42.3,5983,609
1422,1547.0,241,nil,20741,2.52045454545455,41.07,4768,770
1440,27800.0,nil,nil,57316,5.2035,131.16,28332,395
1535,180.0,0,nil,12564,3.42,10.0,13958,613
1566,1004.0,11,nil,51992,nil,10.21,20795,3021
1630,94.0,11,nil,12401,2.27,3.45,2867,334
1748,258.0,7,nil,16615,3.34,5.19,5023,206
1748,344.0,5,nil,16349,nil,5.1,18109,2497
1779,155.0,42,nil,12486,nil,6.43,nil,nil
1810,1161.0,207,nil,80889,2.265,61.7,21154,828
1810,1233.0,26,nil,80889,2.265,61.7,21154,828
1825,237.0,nil,nil,10263,2.0344,4.18,4674,732
1953,5898.0,1205,nil,15624,4.37785714285714,57.87,8666,97
1981,14271.0,787,nil,235969,3.03733333333333,813.69,73229,773
1981,9313.0,517,nil,235969,3.03733333333333,813.69,73229,773
1985,409.0,nil,nil,10925,nil,13.29,3793,885
2040,70896.0,99,nil,342485,7.8712,73.09,233711,788
2075,78584.0,0,nil,155628,3.28333333333333,234.73,65915,824
2077,925.0,nil,nil,16246,3.18818181818182,120.34,10149,637
2081,2105.0,105,nil,30667,3.39219512195122,4.21,9289,685
2081,2133.0,13,nil,30667,3.39219512195122,4.21,9289,685
2152,683.0,54,nil,31396,3.602,5.71,11735,920
2152,599.0,58,nil,31396,3.602,5.71,11735,920
2204,21328.0,nil,nil,39835,2.10666666666667,72.69,11965,281
2318,677.0,21,nil,21336,11.3831034482759,32.52,42479,561
2318,1330.0,51,nil,21336,11.3831034482759,32.52,42479,561
2485,280.0,23,nil,11650,3.3856,35.2,4371,515
2485,290.0,10,nil,11650,3.3856,35.2,4371,515
2891,8.0,398,nil,65618,2.13888888888889,32.2,19265,602
2891,7261.0,496,nil,65618,2.13888888888889,32.2,19265,602
3066,583.0,39,nil,32084,nil,50.21,nil,nil
3066,2276.0,40,nil,29963,2.89076923076923,48.02,9981,404
3066,3340.0,10,nil,29963,2.89076923076923,48.02,9981,404
3066,2279.0,nil,nil,29963,2.89076923076923,48.02,9981,404
3215,2400.0,nil,nil,125164,nil,763.2,239431,2662
3280,1170.0,641,nil,18745,nil,9.92,nil,nil
3299,3390.0,nil,nil,50513,nil,51.23,nil,nil
3363,75000.0,20,nil,185371,1.53606060606061,228.85,34985,538
3376,1204.0,52,nil,80602,1.95,52.99,15393,281
3415,3246.0,537,nil,38950,1.81951219512195,33.06,10500,849
3415,5710.0,490,nil,38950,1.81951219512195,33.06,10500,849
3808,138.0,2,nil,12926,nil,15.94,nil,nil
3808,196.0,17,nil,12783,nil,15.72,nil,nil
4051,4378.0,33,nil,50933,2.94555555555556,20.55,14680,391
4051,4206.0,38,nil,50933,2.94555555555556,20.55,14680,391
4055,2470.0,nil,nil,43809,4.30333333333333,55.81,21391,345
4094,4330.0,nil,nil,69030,2.70333333333333,21.72,24424,2273
4182,2302.0,7,nil,65098,1.38652173913043,24.21,5727,422
4182,2416.0,9,nil,65098,1.38652173913043,24.21,5727,422
4548,4000.0,200,nil,46830,7.79409090909091,102.92,42445,542
4826,3000.0,40,nil,47431,nil,42.31,7751,76
5127,1956.0,19,nil,47528,2.87,70.2,16596,126
5225,1000.0,nil,nil,27151,nil,11.62,42283,2070
5353,5529.0,248,nil,53807,2.1634375,9.28,7948,925
5376,418.0,nil,nil,21640,nil,10.91,nil,nil
5376,3900.0,nil,nil,21640,nil,10.91,nil,nil
5426,2696.0,265,nil,46998,1.69931034482759,7.91,11946,779
5426,2045.0,67,nil,46998,1.69931034482759,7.91,11946,779
5456,46284.0,41,nil,170838,4.03076923076923,949.1,139604,737
5616,1211.0,60,nil,56892,5.208125,14.73,27881,3281
5616,1288.0,48,nil,56892,5.208125,14.73,27881,3281
5616,939.0,13,nil,56892,5.208125,14.73,27881,3281
5811,849.0,780,nil,21547,10.03,58.24,10248,40
5824,2278.0,36,nil,30810,4.04411764705882,6.08,15227,591
6196,172.0,nil,nil,10235,nil,8.75,17406,388
6395,261.0,nil,nil,57979,1.27172413793103,57.46,4076,1497
6519,864.0,14,nil,21733,1.18755102040816,29.98,3297,260
6608,1729.0,nil,nil,30153,nil,55.74,nil,nil
6612,795.0,nil,nil,42597,0.82525641025641,532.46,2558,208
6679,6775.0,nil,nil,41095,5.68958333333333,91.53,30020,653
6761,1100.0,7,nil,71505,nil,118.39,nil,nil
6761,536.0,6,nil,71505,nil,118.39,nil,nil
6761,201.0,3,nil,71505,nil,118.39,nil,nil
6956,32.0,3,nil,13476,3.773,2.02,7363,244
7025,1462.0,nil,nil,40799,nil,37.85,15421,1634
7173,369.0,10,nil,17564,nil,18.13,nil,nil
7173,431.0,9,nil,17554,nil,18.13,nil,nil
7198,2041.0,253,nil,25428,3.81823529411765,28.28,10828,1945
7198,1896.0,188,nil,25428,3.81823529411765,28.28,10828,1945
7391,4979.0,71,nil,82901,3.64833333333333,508.6,36206,507
7391,2932.0,23,nil,82901,3.64833333333333,508.6,36206,507
7391,6500.0,nil,nil,82901,3.64833333333333,508.6,36206,507
7391,4313.0,nil,nil,82901,3.64833333333333,508.6,36206,507
7671,1200.0,nil,nil,6414,nil,2.2,7258,1223
7796,279.0,13,nil,11353,8.77809523809524,31.1,9329,3030
7796,288.0,21,nil,11291,nil,43.43,nil,nil
7992,1369.0,5,nil,12856,6.00444444444444,3.3,8589,1117
8011,183.0,4,nil,15320,5.04333333333333,6.45,8245,323
8011,304.0,3,nil,15237,nil,6.99,nil,nil
8131,453.0,nil,nil,13785,1.40024390243902,14.12,46815,1463
8166,2613.0,nil,nil,78148,nil,797.43,24605,2311
8254,50000.0,nil,nil,593178,5.89424242424242,5343.95,380987,3336
8267,267.0,nil,nil,10085,nil,24.9,nil,nil
8267,222.0,nil,nil,10085,nil,24.9,nil,nil
8366,2201.0,347,nil,54681,nil,8.14,33671,6130
8366,2074.0,nil,nil,54681,nil,8.14,33671,6130
8387,56.0,19,nil,12764,5.21310344827586,5.09,6909,719
8387,89.0,27,nil,12764,5.21310344827586,5.09,6909,719
8398,107.0,nil,nil,17084,1.15709677419355,8.87,1688,531
8453,386.0,nil,nil,18763,2.61052631578947,7.85,5488,415
8453,700.0,nil,nil,18763,2.61052631578947,7.85,5488,415
8453,700.0,nil,nil,18763,2.61052631578947,7.85,5488,415
8453,250.0,nil,nil,18763,2.61052631578947,7.85,5488,415
8454,123.0,nil,nil,6121,3.48142857142857,1.64,2151,150
8715,642.0,nil,nil,20358,3.79153846153846,7.39,16172,2830
8715,373.0,nil,nil,20358,3.79153846153846,7.39,16172,2830
8788,2831.0,nil,nil,22930,7.88142857142857,73.26,25920,490
8982,3530.0,208,nil,80845,1.79693548387097,65.89,17225,1138
8982,482.0,nil,nil,80845,1.79693548387097,65.89,17225,1138
9113,39042.0,0,nil,92677,nil,203.69,nil,nil
9350,7029.0,20,nil,30546,nil,93.13,nil,nil
9350,7662.0,68,nil,30546,nil,93.13,nil,nil
9350,8267.0,68,nil,30546,nil,93.13,nil,nil
9350,6000.0,nil,nil,30546,nil,93.13,nil,nil
9557,4236.0,101,nil,95636,0.180909090909091,47.6,1610,130
9557,4278.0,131,nil,95636,0.180909090909091,47.6,1610,130
9694,231.0,11,nil,10479,27.2744,45.36,12213,181
9694,298.0,14,nil,10479,27.2744,45.36,12213,181
9869,2117.0,284,nil,22665,5.83888888888889,19.52,15704,82
9869,1742.0,81,nil,22665,5.83888888888889,19.52,15704,82
9869,1798.0,164,nil,22665,5.83888888888889,19.52,15704,82
9916,104.0,21,nil,28867,4.47625,8.62,14793,878
9930,2671.0,243,nil,30418,5.408125,30.03,19179,2733
9930,2175.0,241,nil,30418,5.408125,30.03,19179,2733
10028,3583.0,80,nil,12463,4.1075,17.98,7804,142
10028,2292.0,52,nil,12463,4.1075,17.98,7804,142
10054,198.0,nil,nil,29267,0.64,108.4,3168,225
10066,4795.0,117,nil,57735,nil,656.08,75517,1549
10125,1547.0,nil,nil,83377,nil,19.06,nil,nil
10193,132.0,nil,nil,14710,3.954,3.5,15819,1137
10193,82.0,nil,nil,14710,3.954,3.5,15819,1137
10216,772.0,nil,nil,12131,1.87366666666667,1.71,3085,202
10289,140.0,nil,nil,10814,nil,0.0,8490,1085
10296,3248.0,nil,nil,11567,9.49181818181818,3.56,13084,575
10296,1800.0,nil,nil,11567,9.49181818181818,3.56,13084,575
10299,7200.0,2767,nil,14117,29.94,72.03,48132,1269
10299,1842.0,773,nil,14117,29.94,72.03,48132,1269
10404,588.0,3,nil,46611,2.58916666666667,106.66,13706,551
10404,555.0,4,nil,46611,2.58916666666667,106.66,13706,551
10404,697.0,2,nil,46611,2.58916666666667,106.66,13706,551
10426,589.0,10,nil,29737,2.439375,76.05,8195,351
10426,518.0,24,nil,29737,2.439375,76.05,8195,351
10464,1329.0,5,nil,50208,1.35625,10.42,6520,782
10466,625.0,nil,nil,15560,nil,29.47,4716,66
10591,700.0,5,nil,19822,2.94,54.61,5652,228
10591,920.0,23,nil,19822,2.94,54.61,5652,228
10637,1485.0,nil,nil,56441,5.89636363636364,287.96,61140,1415
10776,343.0,10,nil,14270,3.80714285714286,19.34,8788,208
10838,83.0,16,nil,17619,9.51571428571429,5.61,14643,2214
10838,71.0,12,nil,17619,9.51571428571429,5.61,14643,2214
10889,224.0,6,nil,10922,nil,5.17,11282,2588
10890,3510.0,nil,nil,149358,nil,1090.2,nil,nil
10928,1292.0,284,nil,60219,1.52434782608696,12.62,8812,1041
10958,2360.0,64,nil,25845,4.53857142857143,34.32,13139,1659
10958,2405.0,67,nil,25845,4.53857142857143,34.32,13139,1659
11180,379.0,2,nil,14816,3.16805555555556,20.38,7349,504
11281,1443.0,26,nil,11891,nil,17.06,nil,nil
11281,1004.0,13,nil,11891,nil,17.06,nil,nil
11315,159.0,3,nil,26587,4.13555555555556,15.47,12622,486
11315,155.0,2,nil,26587,4.13555555555556,15.47,12622,486
11315,1610.0,nil,nil,26587,4.13555555555556,15.47,12622,486
11315,1970.0,nil,nil,26587,4.13555555555556,15.47,12622,486
